Content,Level,datetime,content_length,source,Clean_Content
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 330 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:28.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupting SendWorker,Advertencia,2015-07-29 19:28:15.221,2,Zookeeper,interrupting sendworker
Cannot open channel to 3 at election address /10.10.34.13:3888,Advertencia,2015-08-24 23:09:14.792,4,Zookeeper,open channel election address
Interrupting SendWorker,Advertencia,2015-07-29 19:31:27.667,2,Zookeeper,interrupting sendworker
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:24:36.927,5,Zookeeper,connection broken id id error
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 187 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:08:04.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:34:15.209,4,Zookeeper,interrupted waiting message queue
getRunningAppProcesses: caller 10027 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:15:27.269,6,Android,getrunningappprocesses caller does hold limiting output
Connection request from old client /10.10.34.35:48971; will be dropped if server is in r-o mode,Advertencia,2015-07-31 21:23:12.897,9,Zookeeper,connection request old client dropped server r o mode
Send worker leaving thread,Advertencia,2015-07-29 19:22:23.379,4,Zookeeper,send worker leaving thread
Interrupting SendWorker,Advertencia,2015-07-29 19:32:38.536,2,Zookeeper,interrupting sendworker
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:25:29.074,4,Zookeeper,interrupted waiting message queue
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 43 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:05:40.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupting SendWorker,Advertencia,2015-07-29 19:32:02.269,2,Zookeeper,interrupting sendworker
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:06:39.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupting SendWorker,Advertencia,2015-07-29 19:25:07.003,2,Zookeeper,interrupting sendworker
Interrupting SendWorker,Advertencia,2015-07-29 19:34:12.634,2,Zookeeper,interrupting sendworker
Send worker leaving thread,Advertencia,2015-07-29 19:23:36.221,4,Zookeeper,send worker leaving thread
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-24 22:17:14.678,4,Zookeeper,open channel election address
getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:16:05.076,6,Android,gettasks caller does hold limiting output
Interrupting SendWorker,Advertencia,2015-07-29 19:28:34.481,2,Zookeeper,interrupting sendworker
