Content,Level,datetime,content_length,source,Clean_Content
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:25:23.702,4,Zookeeper,interrupted waiting message queue
Interrupting SendWorker,Advertencia,2015-07-29 19:32:14.431,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 308 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:05.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:21:29.146,4,Zookeeper,interrupted waiting message queue
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:48.000,9,Hadoop,address change detected old msra sa new msra sa
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:13:56.177,6,Android,getrunningappprocesses caller does hold limiting output
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:14:54.045,6,Android,getrunningappprocesses caller does hold limiting output
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:54.000,9,Hadoop,address change detected old msra sa new msra sa
"Connection broken for id 188978561024, my id = 3, error =",Advertencia,2015-07-29 19:31:01.564,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:36:09.456,4,Zookeeper,send worker leaving thread
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:13:54.640,6,Android,getrunningappprocesses caller does hold limiting output
shouldBlockLocation running ...,Advertencia,2024-03-17 16:15:51.183,2,Android,shouldblocklocation running
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:29:38.841,4,Zookeeper,interrupted waiting message queue
Send worker leaving thread,Advertencia,2015-07-29 19:26:57.983,4,Zookeeper,send worker leaving thread
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-24 18:51:14.196,4,Zookeeper,open channel election address
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 126 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:07:04.000,6,Hadoop,failed renew lease seconds retry shortly
Send worker leaving thread,Advertencia,2015-07-29 19:31:08.148,4,Zookeeper,send worker leaving thread
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:06:43.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupting SendWorker,Advertencia,2015-07-29 19:35:38.717,2,Zookeeper,interrupting sendworker
******* GOODBYE /10.10.34.12:59406 ********,Advertencia,2015-07-29 19:18:56.457,1,Zookeeper,goodbye
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 324 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:22.000,6,Hadoop,failed renew lease seconds retry shortly
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:08:24.000,9,Hadoop,address change detected old msra sa new msra sa
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 69 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:06:06.000,6,Hadoop,failed renew lease seconds retry shortly
Send worker leaving thread,Advertencia,2015-07-29 19:28:37.825,4,Zookeeper,send worker leaving thread
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 175 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:07:52.000,6,Hadoop,failed renew lease seconds retry shortly
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:24:48.958,5,Zookeeper,connection broken id id error
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 176 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:07:53.000,6,Hadoop,failed renew lease seconds retry shortly
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-24 17:39:14.002,4,Zookeeper,open channel election address
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:06:57.000,9,Hadoop,address change detected old msra sa new msra sa
Send worker leaving thread,Advertencia,2015-07-29 19:28:40.533,4,Zookeeper,send worker leaving thread
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:34:05.958,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:29:47.343,4,Zookeeper,send worker leaving thread
shouldBlockLocation running ...,Advertencia,2024-03-17 16:15:06.213,2,Android,shouldblocklocation running
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-07-29 17:42:53.528,4,Zookeeper,open channel election address
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:09:55.000,9,Hadoop,address change detected old msra sa new msra sa
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:30:18.723,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:24:06.289,4,Zookeeper,send worker leaving thread
"Connection broken for id 188978561024, my id = 3, error =",Advertencia,2015-07-29 19:22:52.672,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:36:19.480,4,Zookeeper,send worker leaving thread
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-07-30 17:55:26.200,4,Zookeeper,open channel election address
Interrupting SendWorker,Advertencia,2015-07-29 19:26:54.644,2,Zookeeper,interrupting sendworker
Interrupting SendWorker,Advertencia,2015-07-29 19:35:44.864,2,Zookeeper,interrupting sendworker
caught end of stream exception,Advertencia,2015-07-30 14:48:54.960,4,Zookeeper,caught end stream exception
getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:15:22.259,6,Android,getrunningappprocesses caller does hold limiting output
Interrupting SendWorker,Advertencia,2015-07-29 19:32:14.227,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 198 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:08:15.000,6,Hadoop,failed renew lease seconds retry shortly
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 318 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:16.000,6,Hadoop,failed renew lease seconds retry shortly
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 50 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:05:47.000,6,Hadoop,failed renew lease seconds retry shortly
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 279 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:09:36.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupting SendWorker,Advertencia,2015-07-29 19:22:21.958,2,Zookeeper,interrupting sendworker
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:08:18.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:29:12.116,4,Zookeeper,interrupted waiting message queue
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:33:35.894,5,Zookeeper,connection broken id id error
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:30.000,9,Hadoop,address change detected old msra sa new msra sa
