Content,Level,datetime,content_length,source,Clean_Content
Send worker leaving thread,Advertencia,2015-07-29 19:31:49.006,4,Zookeeper,send worker leaving thread
getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:15:32.289,6,Android,gettasks caller does hold limiting output
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 315 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:13.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:31:35.760,4,Zookeeper,interrupted waiting message queue
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:37:21.726,5,Zookeeper,connection broken id id error
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:06:05.000,9,Hadoop,address change detected old msra sa new msra sa
Cannot open channel to 3 at election address /10.10.34.13:3888,Advertencia,2015-08-25 07:27:15.803,4,Zookeeper,open channel election address
Interrupting SendWorker,Advertencia,2015-07-29 19:25:43.145,2,Zookeeper,interrupting sendworker
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:22:33.513,4,Zookeeper,interrupted waiting message queue
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:10:21.000,9,Hadoop,address change detected old msra sa new msra sa
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:07:55.000,9,Hadoop,address change detected old msra sa new msra sa
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:34:05.863,5,Zookeeper,connection broken id id error
caught end of stream exception,Advertencia,2015-07-30 14:48:54.960,4,Zookeeper,caught end stream exception
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 279 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:09:36.000,6,Hadoop,failed renew lease seconds retry shortly
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:10:15.000,9,Hadoop,address change detected old msra sa new msra sa
Send worker leaving thread,Advertencia,2015-07-29 19:31:51.049,4,Zookeeper,send worker leaving thread
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:24:57.175,5,Zookeeper,connection broken id id error
Interrupting SendWorker,Advertencia,2015-07-30 23:49:40.005,2,Zookeeper,interrupting sendworker
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:40.000,9,Hadoop,address change detected old msra sa new msra sa
caught end of stream exception,Advertencia,2015-07-30 17:11:54.937,4,Zookeeper,caught end stream exception
"Connection broken for id 188978561024, my id = 3, error =",Advertencia,2015-07-29 19:22:52.672,5,Zookeeper,connection broken id id error
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:24:23.574,5,Zookeeper,connection broken id id error
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:35:14.606,5,Zookeeper,connection broken id id error
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:34:48.617,4,Zookeeper,interrupted waiting message queue
shouldBlockLocation running ...,Advertencia,2024-03-17 16:15:27.283,2,Android,shouldblocklocation running
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:29:38.840,4,Zookeeper,interrupted waiting message queue
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:28:14.542,4,Zookeeper,interrupted waiting message queue
getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:14:04.938,6,Android,gettasks caller does hold limiting output
Interrupting SendWorker,Advertencia,2015-07-29 19:33:39.140,2,Zookeeper,interrupting sendworker
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:09:01.000,9,Hadoop,address change detected old msra sa new msra sa
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:03.000,9,Hadoop,address change detected old msra sa new msra sa
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-25 02:06:15.155,4,Zookeeper,open channel election address
shouldBlockLocation running ...,Advertencia,2024-03-17 16:15:06.213,2,Android,shouldblocklocation running
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:36:38.112,5,Zookeeper,connection broken id id error
Interrupting SendWorker,Advertencia,2015-07-29 19:32:42.357,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 292 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:09:49.000,6,Hadoop,failed renew lease seconds retry shortly
Send worker leaving thread,Advertencia,2015-07-29 19:33:19.190,4,Zookeeper,send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:30:34.221,5,Zookeeper,connection broken id id error
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:35:52.160,4,Zookeeper,interrupted waiting message queue
"Connection broken for id 188978561024, my id = 3, error =",Advertencia,2015-07-29 19:34:28.568,5,Zookeeper,connection broken id id error
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:27:01.320,5,Zookeeper,connection broken id id error
Interrupting SendWorker,Advertencia,2015-07-29 19:18:57.988,2,Zookeeper,interrupting sendworker
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:21:36.607,4,Zookeeper,interrupted waiting message queue
shouldBlockLocation running ...,Advertencia,2024-03-17 16:15:06.241,2,Android,shouldblocklocation running
Interrupting SendWorker,Advertencia,2015-07-29 19:31:02.353,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 310 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:07.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupting SendWorker,Advertencia,2015-07-29 19:31:07.513,2,Zookeeper,interrupting sendworker
Interrupting SendWorker,Advertencia,2015-07-29 19:32:51.698,2,Zookeeper,interrupting sendworker
"Connection broken for id 188978561024, my id = 3, error =",Advertencia,2015-07-29 19:34:05.388,5,Zookeeper,connection broken id id error
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:30:14.700,4,Zookeeper,interrupted waiting message queue
Send worker leaving thread,Advertencia,2015-07-29 19:30:10.728,4,Zookeeper,send worker leaving thread
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 337 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:35.000,6,Hadoop,failed renew lease seconds retry shortly
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-24 20:57:14.495,4,Zookeeper,open channel election address
Interrupting SendWorker,Advertencia,2015-07-29 19:33:55.162,2,Zookeeper,interrupting sendworker
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:34:35.337,4,Zookeeper,interrupted waiting message queue
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:08:42.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:25:29.074,4,Zookeeper,interrupted waiting message queue
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:33:37.733,5,Zookeeper,connection broken id id error
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-24 20:01:14.364,4,Zookeeper,open channel election address
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:09:29.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupting SendWorker,Advertencia,2015-07-29 19:36:15.454,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 200 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:08:17.000,6,Hadoop,failed renew lease seconds retry shortly
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 103 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:06:41.000,6,Hadoop,failed renew lease seconds retry shortly
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:08:18.000,9,Hadoop,address change detected old msra sa new msra sa
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:41.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:35:22.018,4,Zookeeper,interrupted waiting message queue
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-24 20:56:14.493,4,Zookeeper,open channel election address
"Connection broken for id 188978561024, my id = 3, error =",Advertencia,2015-07-29 19:31:15.039,5,Zookeeper,connection broken id id error
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:25:49.027,4,Zookeeper,interrupted waiting message queue
android.util.AndroidRuntimeException: Must execute in UI,Advertencia,2024-03-17 16:13:47.743,5,Android,android util androidruntimeexception execute ui
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:31:52.456,5,Zookeeper,connection broken id id error
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:04:29.079,4,Zookeeper,interrupted waiting message queue
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:06:13.000,9,Hadoop,address change detected old msra sa new msra sa
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:06:44.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupting SendWorker,Advertencia,2015-07-29 19:34:08.526,2,Zookeeper,interrupting sendworker
Send worker leaving thread,Advertencia,2015-07-29 19:32:54.510,4,Zookeeper,send worker leaving thread
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:33:11.219,4,Zookeeper,interrupted waiting message queue
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 356 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:54.000,6,Hadoop,failed renew lease seconds retry shortly
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:01.000,9,Hadoop,address change detected old msra sa new msra sa
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:05:44.000,9,Hadoop,address change detected old msra sa new msra sa
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 248 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:09:05.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupting SendWorker,Advertencia,2015-07-29 19:36:26.155,2,Zookeeper,interrupting sendworker
Interrupting SendWorker,Advertencia,2015-07-29 19:27:05.187,2,Zookeeper,interrupting sendworker
Interrupting SendWorker,Advertencia,2015-07-29 19:26:55.270,2,Zookeeper,interrupting sendworker
Cannot open channel to 2 at election address /10.10.34.12:3888,Advertencia,2015-08-24 15:55:13.717,4,Zookeeper,open channel election address
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 316 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:14.000,6,Hadoop,failed renew lease seconds retry shortly
Send worker leaving thread,Advertencia,2015-07-29 19:29:12.115,4,Zookeeper,send worker leaving thread
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 131 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:07:09.000,6,Hadoop,failed renew lease seconds retry shortly
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:07:42.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:25:47.195,4,Zookeeper,interrupted waiting message queue
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:23:39.465,4,Zookeeper,interrupted waiting message queue
Send worker leaving thread,Advertencia,2015-07-29 19:28:37.825,4,Zookeeper,send worker leaving thread
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:32:11.091,5,Zookeeper,connection broken id id error
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 32 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:05:29.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:24:23.578,4,Zookeeper,interrupted waiting message queue
Send worker leaving thread,Advertencia,2015-07-29 19:29:11.333,4,Zookeeper,send worker leaving thread
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:19.000,9,Hadoop,address change detected old msra sa new msra sa
Send worker leaving thread,Advertencia,2015-07-29 19:32:18.976,4,Zookeeper,send worker leaving thread
